
Warning from Imperial College ICT:  This message contains a link to a website sometimes used by "phishers" to steal credentials.  

Caution is advised when clicking on these links. To avoid credential theft, you should not enter your Imperial College username and password into any form linked from this message.

The original messages continues below.
id_STR maxmu Ks AIC quasi.r2 SpeciesNb temperature Replicate Temperature.f Replicate.f id_ST id_SR
1:15:1 0.644967968946169 0 5.46221517537434 -0.125001949102107 1 15 1 15 1 1:15 1:1
1:15:3 0.688839425502265 0.00614812178953853 3.45965638066893 0.0951211282206303 1 15 3 15 3 1:15 1:3
1:15:2 0.721687377421018 0 11.8260252306075 -0.142857169819876 1 15 2 15 2 1:15 1:2
1:20:1 0.76603567843194 0.00721328319402906 0.164476028842122 0.175931207098457 1 20 1 20 1 1:20 1:1
1:20:2 0.728641303237435 0.0039903196922909 0.33644305404831 0.018559678995369 1 20 2 20 2 1:20 1:2
1:20:3 0.926562663016183 0.031500007546827 8.96991153569923 0.309051437783549 1 20 3 20 3 1:20 1:3
1:25:1 0.934181318150735 0.167901086313724 4.52153955484975 0.642603328886122 1 25 1 25 1 1:25 1:1
1:25:2 1.05160467087322 0.33332015812427 2.83678963424435 0.700479207086916 1 25 2 25 2 1:25 1:2
1:25:3 0.961463527725607 0.0605434741800651 28.1868234569862 0.109445430107318 1 25 3 25 3 1:25 1:3
1:30:1 1.17259475367015 0.136562554077106 12.8880475437866 0.642507334642513 1 30 1 30 1 1:30 1:1
1:30:2 1.26604586021196 0.17034129591257 11.9515285362524 0.714576813653429 1 30 2 30 2 1:30 1:2
1:30:3 1.35654436097149 0.153422105723317 12.1307413264325 0.729141302418237 1 30 3 30 3 1:30 1:3
1:35:1 0.739068494865605 0.533791313740209 8.12212831264347 0.591149526488159 1 35 1 35 1 1:35 1:1
1:35:2 0.852913429292018 0.890006432476604 -3.16842840127345 0.863284079905302 1 35 2 35 2 1:35 1:2
1:35:3 0.635659859944035 0.0917856153929683 -3.15803054726452 0.72480401125047 1 35 3 35 3 1:35 1:3
2:15:1 1.27710244028793 0.0974337110211288 26.7549453408805 0.220847632944995 2 15 1 15 1 2:15 2:1
2:15:2 0.960391818329827 0.0113817435721956 24.4041104085814 -0.0394658119728402 2 15 2 15 2 2:15 2:2
2:15:3 1.18480028442144 0.34772001510179 16.5331708228692 0.438490197678946 2 15 3 15 3 2:15 2:3
2:20:1 1.58856132622471 0.0893476030530722 22.4975939500557 0.430899297182571 2 20 1 20 1 2:20 2:1
2:20:2 1.28294597696169 0.531796839542826 13.6344378572281 0.454678839995172 2 20 2 20 2 2:20 2:2
2:20:3 1.19017430445006 0.237504909549935 24.7746416825678 0.276780523130586 2 20 3 20 3 2:20 2:3
2:25:1 1.62111613713358 0.293393737918217 22.5393631816118 0.443206450603004 2 25 1 25 1 2:25 2:1
2:25:2 1.29051898643221 0.0919336200836676 28.424580354076 0.00593633854623454 2 25 2 25 2 2:25 2:2
2:25:3 1.30394139083352 0.67500183876105 24.3806714887105 0.203450623225782 2 25 3 25 3 2:25 2:3
2:30:1 1.99023245524271 0.615546883891125 27.5178429496803 0.574034638985363 2 30 1 30 1 2:30 2:1
2:30:2 1.50203038011203 0.812535159360247 18.8052186594163 0.646474966334296 2 30 2 30 2 2:30 2:2
2:30:3 1.86631810560436 0.529867114826165 18.398499717227 0.736749473689594 2 30 3 30 3 2:30 2:3
2:35:1 1.32840381268204 1.02835738354295 17.7988663903916 0.574462482736606 2 35 1 35 1 2:35 2:1
2:35:2 1.05859469964228 0.731030288569586 20.2270880859262 0.251004104246022 2 35 2 35 2 2:35 2:2
2:35:3 1.07506537583969 0.220198537585557 15.9179337160592 0.303141073709813 2 35 3 35 3 2:35 2:3
3:15:1 0.582858647868259 0.0476681708194449 3.15261310091452 0.34562196845705 3 15 1 15 1 3:15 3:1
